title,brand,price,old_price,discount_percent,rating,reviews_count,availability,url,image,badges
Текіла La 7 Vidas Blanco 0.7 л 40% (8057711492381),Текіла,4200,4590,8,,,Готово до відправки,https://rozetka.com.ua/ua/la-7-vidas-8057711492381/p561123081/,https://content.rozetka.com.ua/goods/images/big_tile/626876870.jpg,НОВИНКА
Лікер Fior Di Bananino 0.5 л 17% (8024158057435),Лікер,345,410,16,4.7,5,Є в наявності,https://rozetka.com.ua/ua/fior_8024158057435/p319051042/,https://content2.rozetka.com.ua/goods/images/big_tile/222571367.jpg,−16%
Віскі The Irishman Caribbean Cask Finish 46% 0.7 л (5099811906385),Віскі,1990,2793,29,,,Є в наявності,https://rozetka.com.ua/ua/the_irishman_5099811906385/p277908983/,https://content.rozetka.com.ua/goods/images/big_tile/380724444.jpg,−29%
Джин Brockmans Intensely Smooth Gin 0.7 л 40% (5010296169164),Джин,1490,1799,17,,1,Невідомо,https://rozetka.com.ua/ua/brockmans_5010296169164/p129736913/,https://content2.rozetka.com.ua/goods/images/big_tile/505467198.jpg,−17%
Настоянка плодова Відьомська вода Лохина 0.5 л 22% (4820269290358),Настоянка,385,457,16,,,Невідомо,https://rozetka.com.ua/ua/witch-water-4820269290358/p455353764/,https://content.rozetka.com.ua/goods/images/big_tile/482216058.jpg,
Коктейль Bols Pornstar Martini 0.375 л 14.9% (8716000970374),Коктейль,369,495,25,5.0,2,Готово до відправки,https://rozetka.com.ua/ua/bols-8716000970350/p417764955/,https://content.rozetka.com.ua/goods/images/big_tile/408639755.jpg,−25%
Джин Glen\'s 1 л 37.5% (5016840002727),Джин,597,,,,,Є в наявності,https://rozetka.com.ua/ua/glens-5016840002727/p467796374/,https://content2.rozetka.com.ua/goods/images/big_tile/497975514.jpg,
Джин Larios London Dry Gin 0.7 л 37.5% (8411144101157_8411144101249),Джин,499,699,29,,2,Є в наявності,https://rozetka.com.ua/ua/larios-8411144101157/p472757214/,https://content.rozetka.com.ua/goods/images/big_tile/505151553.jpg,−29%
Віскі Thin Lizzy 0.7 л 40% (5391524716603),Віскі,1499,1744,14,,,Невідомо,https://rozetka.com.ua/ua/thin-lizzy-5391524716603/p463222594/,https://content.rozetka.com.ua/goods/images/big_tile/492193285.jpg,−14%
Віскі Canadian Club 6 років витримки 0.7 л 40% (080686816072),Віскі,779,974,20,4.2,35,Невідомо,https://rozetka.com.ua/ua/canadian_club_080686816072/p11054537/,https://content2.rozetka.com.ua/goods/images/big_tile/10788276.jpg,−20%
Ромовий напій Ching Shih Dark Spiced 0.7 л 32% (3012993077614),Ромовий,379,395,4,4.3,6,Невідомо,https://rozetka.com.ua/ua/ching_shih_3012993077614/p393588903/,https://content1.rozetka.com.ua/goods/images/big_tile/361111331.jpg,
Горілка ORA blue A.E.Dor 0.7 л 40% (3497977113326),Горілка,1042,,,5.0,4,Невідомо,https://rozetka.com.ua/ua/ora_3497977113326/p30829967/,https://content1.rozetka.com.ua/goods/images/big_tile/11526481.jpg,
Джин South Bank Pink 0.7 л 37.5% (5021692001026),Джин,329,349,6,,,Готово до відправки,https://rozetka.com.ua/ua/south-bank-5021692001026/p545323197/,https://content1.rozetka.com.ua/goods/images/big_tile/596908125.jpg,−6%
Ром Black Bay Gold 0.7 л 38% (8006063902116),Ром,299,409,27,,,Невідомо,https://rozetka.com.ua/ua/black_bay_8006063902116/p374672838/,https://content2.rozetka.com.ua/goods/images/big_tile/327174156.jpg,−27%
Джин HVOYA Carpathian Gold 0.5 л 40% (4820269290570),Джин,756,855,12,,,Невідомо,https://rozetka.com.ua/ua/hvoya-4820269290570/p516685319/,https://content2.rozetka.com.ua/goods/images/big_tile/557227413.jpg,
Джин Ameris Botanikal Blu Dry 0.7 л 40% (8000296005088),Джин,267,276,3,,,Невідомо,https://rozetka.com.ua/ua/ameris-8000296005088/p555668997/,https://content1.rozetka.com.ua/goods/images/big_tile/615484717.jpg,
Ром Teichenné Puerto Plata Añejo 0.7 л 37.5% (8413425015559),Ром,369,408,10,,1,Невідомо,https://rozetka.com.ua/ua/teichenn_8413425015559/p386639322/,https://content.rozetka.com.ua/goods/images/big_tile/349351300.jpg,−10%
Віскі Black Velvet 40% 0.7 л (096749003228),Віскі,549,625,12,4.1,21,Невідомо,https://rozetka.com.ua/ua/black_velvet_683899838871/p90522224/,https://content1.rozetka.com.ua/goods/images/big_tile/363513711.png,−12%
Ром Opthimus 18 років 38% 0.7 л у подарунковій упаковці (7466871102244S),Ром,3599,5451,34,,,Невідомо,https://rozetka.com.ua/ua/opthimus-7466871102244s/p480696264/,https://content1.rozetka.com.ua/goods/images/big_tile/514347550.jpg,−34%
Горілка Green Day Солона карамель 0.5 л 37.5% (4820235324025_4823122205681),Горілка,159,,,4.0,3,Невідомо,https://rozetka.com.ua/ua/green-day-4820235324025/p490840989/,https://content2.rozetka.com.ua/goods/images/big_tile/525655267.jpg,
