title,brand,price,old_price,discount_percent,rating,reviews_count,availability,url,image,badges
Вино ігристе Corte Rosa Lambrusco Rosato рожеве напівсолодке IGT 0.75 л 7.5% (8003325608175),Вино,209,220,5,4.4,40,Готово до відправки,https://rozetka.com.ua/ua/lambrusco-8003325608175/p325540081/,https://content2.rozetka.com.ua/goods/images/big_tile/235123543.jpg,ТІЛЬКИ В ROZETKA
Вино ігристе Артемівське біле напівсухе 0.75 л 10-13.5% (4820236722486),Вино,229,279,18,4.3,42,Невідомо,https://rozetka.com.ua/ua/artemovskoe_4820003353424/p5850525/,https://content1.rozetka.com.ua/goods/images/big_tile/308391894.jpg,
Вино Colli Amerini Rosso de Italia червоне сухе 5 л 12% (8009489050065_8011510031660),Вино,659,1045,37,4.5,71,Готово до відправки,https://rozetka.com.ua/ua/colli_amerini_8009489050065/p389206713/,https://content.rozetka.com.ua/goods/images/big_tile/354132420.jpg,−37%
Винний напій Latinium Sparkling Breeze білий напівсухий 0.75 л (4003301081552),Винний,194,298,35,4.6,39,Готово до відправки,https://rozetka.com.ua/ua/latinium_4003301081552/p41332512/,https://content2.rozetka.com.ua/goods/images/big_tile/596600290.jpg,−35%
Вино Aznauri Алазанська долина біле напівсолодке 3 л 9-13 % (4820189291985),Вино,229,276,17,4.5,43,Невідомо,https://rozetka.com.ua/ua/aznauri_4820189291985/p266243786/,https://content.rozetka.com.ua/goods/images/big_tile/625900176.png,
Вино Terra Linda Syrah червоне сухе 0.75 л 14% (8436570000379),Вино,299,529,43,4.9,23,Невідомо,https://rozetka.com.ua/ua/terra-linda-8436570000379/p444696035/,https://content2.rozetka.com.ua/goods/images/big_tile/459841248.jpg,ТОП ПРОДАЖІВ
Алкогольний напій Bolgrad Classic сильногазований білий напівсолодкий 0.75 л 10.5-12.5% (4820197566280),Алкогольний,129,164,21,,,Готово до відправки,https://rozetka.com.ua/ua/bolgrad-4820197566280/p530372469/,https://content.rozetka.com.ua/goods/images/big_tile/579050335.jpg,
Вино ігристе Canti Cuvee Brut біле брют 0.75 л 11% (8005415044535),Вино,209,244,14,4.8,13,Невідомо,https://rozetka.com.ua/ua/canti_8005415044535/p389206812/,https://content1.rozetka.com.ua/goods/images/big_tile/354132447.jpg,−14%
Винний напій Latinium Sparkling Rose рожевий напівсолодкий 0.75 л (4062073012607),Винний,189,279,32,4.6,13,Невідомо,https://rozetka.com.ua/ua/latinium_4062073012607/p399907536/,https://content2.rozetka.com.ua/goods/images/big_tile/596600296.jpg,−32%
Шампанське Gosset Grand Reserve біле брют 0.75 л 12% (3353210012217),Шампанське,2350,2949,20,5.0,4,Невідомо,https://rozetka.com.ua/ua/gosset_3353210012217/p24739840/,https://content.rozetka.com.ua/goods/images/big_tile/407303573.jpg,−20%
Вино ігристе Mondoro Asti біле солодке 0.75 л 7.5% (8004160522305),Вино,529,699,24,4.7,94,Невідомо,https://rozetka.com.ua/ua/mondoro_8004160522305/p5719965/,https://content.rozetka.com.ua/goods/images/big_tile/393607846.jpg,−24%
Вино ігристе Terra Sacra Spumante Brut Serena біле сухе 0.75 л 11% (8053782390250),Вино,229,319,28,4.8,7,Невідомо,https://rozetka.com.ua/ua/terra-sacra-8053782390250/p459367389/,https://content.rozetka.com.ua/goods/images/big_tile/487247468.jpg,−28%
Вино ігристе Casa Farive Prosecco DOC Brut біле брют 0.75 л 11% (8020502064036I),Вино,289,500,42,5.0,1,Невідомо,https://rozetka.com.ua/ua/casa-farive-8020502064036i/p476583529/,https://content1.rozetka.com.ua/goods/images/big_tile/511684463.jpg,−42%
Винний напій ігристий ароматизований Фраголіно безалкогольне Fiorelli Bianco біле солодке 0.75 л 0% (8002915006063),Винний,249,339,27,4.6,153,Невідомо,https://rozetka.com.ua/ua/fiorelli_8002915006063/p218161171/,https://content.rozetka.com.ua/goods/images/big_tile/407644436.jpg,АКЦІЯ
Вино ігристе Крим Україна біле витримане брют 0.75 л 10-13.5% (4820176063762),Вино,249,699,64,5.0,4,Невідомо,https://rozetka.com.ua/ua/krym-4820176063762/p427970312/,https://content.rozetka.com.ua/goods/images/big_tile/426288693.jpg,
Вино ігристе Trevisana Prosecco Spumante DOC біле екстра-сухе 0.75 л 11% (8003030886929),Вино,349,350,0,4.8,41,Готово до відправки,https://rozetka.com.ua/ua/trevisana_8003030886929/p307231613/,https://content.rozetka.com.ua/goods/images/big_tile/430539609.jpg,ТІЛЬКИ В ROZETKA
Вино Leleka Wines White біле напівсолодке 0.75 л (4820004385288),Вино,214,299,28,4.8,23,Невідомо,https://rozetka.com.ua/ua/leleka_4820004385288/p257673216/,https://content1.rozetka.com.ua/goods/images/big_tile/35789851.jpg,
Вино ігристе Tosti Asti D.O.C.G. біле солодке 0.75 л (8003360170750),Вино,309,439,30,4.8,14,Невідомо,https://rozetka.com.ua/ua/tosti_8034042970757/p99683984/,https://content1.rozetka.com.ua/goods/images/big_tile/15596400.jpg,−30%
Вино ігристе 1821 Vintage Bolgrad біле брют 0.75 л 10-13.5% (4820197562145),Вино,169,239,29,4.6,17,Невідомо,https://rozetka.com.ua/ua/bolgrad_4820197562145/p303626943/,https://content.rozetka.com.ua/goods/images/big_tile/185594972.jpg,
Вино ігристе Sizarini Prosecco DOP Morando біле екстра-сухе 0.75 л (8007531100133_8006870014453),Вино,329,481,32,,4,Невідомо,https://rozetka.com.ua/ua/sizarini-8007531100133/p393472947/,https://content.rozetka.com.ua/goods/images/big_tile/360914853.jpg,−32%
Вино Lozano Caballeros de la Rosa Tinto Semidulce червоне напівсолодке 0.75 л (8427894007632),Вино,129,288,55,4.4,32,Готово до відправки,https://rozetka.com.ua/ua/lozano_8427894007632/p73900971/,https://content1.rozetka.com.ua/goods/images/big_tile/570700291.jpg,−55%
Вино IWI Sauvignon Rose MARLBOROUGH рожеве сухе 0.75 л 12.5% (9421908108086),Вино,339,499,32,4.4,7,Готово до відправки,https://rozetka.com.ua/ua/iwi-9421908108086/p445089602/,https://content.rozetka.com.ua/goods/images/big_tile/608433457.jpg,ТІЛЬКИ В ROZETKA
Вино Leleka Wines Odesa Black червоне сухе 0.75 л (4820004385639),Вино,219,299,27,4.6,33,Готово до відправки,https://rozetka.com.ua/ua/leleka-wines-4820004385639/p368457354/,https://content2.rozetka.com.ua/goods/images/big_tile/320038184.jpg,
Вино Yellow Tail Pinot Grigio біле сухе 0.75 л (9322214009961),Вино,349,478,27,4.3,8,Готово до відправки,https://rozetka.com.ua/ua/yellow_tail_9322214009961/p12423819/,https://content1.rozetka.com.ua/goods/images/big_tile/605871932.jpg,АКЦІЯ
Вермут Martini Rosso солодкий 1 л 15% (5010677915007),Вермут,389,519,25,4.5,26,Невідомо,https://rozetka.com.ua/ua/martini_5010677915007/p5831487/,https://content2.rozetka.com.ua/goods/images/big_tile/10691847.jpg,ТОП ПРОДАЖІВ
Вино Kartuli Vazi Сапераві червоне сухе 0.75 л (4860001680252_4860127040374),Вино,239,315,24,4.4,59,Невідомо,https://rozetka.com.ua/ua/kartuli_vazi_4860001680252/p5873697/,https://content2.rozetka.com.ua/goods/images/big_tile/423493118.jpg,−24%
Вино ігристе Freixenet Alcohol Free Sparkling Rose рожеве напівсухе низькокалорійне 0.75 л Безалкогольне (8410384053073),Вино,249,330,25,4.7,19,Невідомо,https://rozetka.com.ua/ua/freixenet-8410384053073/p386884872/,https://content1.rozetka.com.ua/goods/images/big_tile/349892608.jpg,−25%
Вино ігристе ONDE Prosecco Frizzante Doc Treviso Dry біле сухе 0.75 л 11% (8000037000310),Вино,299,420,29,5.0,3,Невідомо,https://rozetka.com.ua/ua/onde-8000037010173/p461972144/,https://content.rozetka.com.ua/goods/images/big_tile/490507905.jpg,ТІЛЬКИ В ROZETKA
Вино ігристе Sizarini Lambrusco біле сухе 0.75 л 10.5% (8004810944488),Вино,164,249,34,4.8,28,Готово до відправки,https://rozetka.com.ua/ua/sizarini_8004810944488/p154384112/,https://content2.rozetka.com.ua/goods/images/big_tile/19518925.jpg,−34%
"ВИНО Ігристе J.P. Шене Ice видання Rose Demi Sec напівсухе 0,75 рожеве л 10-13.5% (3500610093708)",ВИНО,319,600,47,4.9,15,Невідомо,https://rozetka.com.ua/ua/jp_chenet_3500610093708/p5541729/,https://content1.rozetka.com.ua/goods/images/big_tile/10689028.jpg,−47%
Вино ігристе Mondoro Brut біле брют 0.75 л 12% (8004160222601),Вино,529,699,24,4.4,21,Готово до відправки,https://rozetka.com.ua/ua/mondoro_8004160222601/p5728245/,https://content2.rozetka.com.ua/goods/images/big_tile/10691298.jpg,−24%
Напій алкогольний сильногазований Ореанда Гранде Premium біле сухе 0.75 л 12.5% (4820256585603В),Напій,149,179,17,,,Невідомо,https://rozetka.com.ua/ua/oreanda-4820256585603b/p480138134/,https://content1.rozetka.com.ua/goods/images/big_tile/513629261.jpg,
Портвейн Caves Santa Marta Декантер коричневий 0.75 л 19% (5601878422755),Портвейн,1600,2000,20,4.8,20,Невідомо,https://rozetka.com.ua/ua/caves_santa_marta_5601878422755/p271157111/,https://content1.rozetka.com.ua/goods/images/big_tile/44453308.jpg,ТІЛЬКИ В ROZETKA
Винний напій ігристий ароматизований Фраголіно Fiorelli Dry біле сухе 0.75 л (8002915005691),Винний,175,264,34,4.4,25,Готово до відправки,https://rozetka.com.ua/ua/fiorelli_8002915005691/p26356617/,https://content.rozetka.com.ua/goods/images/big_tile/4881582.jpg,АКЦІЯ
Вино Plantaze Vranac червоне сухе 0.75 л 13.5% (3899003001001),Вино,350,489,28,4.7,64,Невідомо,https://rozetka.com.ua/ua/plantaze_vranac_3899003001001/p110464672/,https://content2.rozetka.com.ua/goods/images/big_tile/16410834.jpg,−28%
Вино ігристе Free Feather Alcoholfree Sparkling безалкогольне біле напівсолодке 0.75 л (4060573000049),Вино,199,274,27,5.0,4,Невідомо,https://rozetka.com.ua/ua/free-feather-4060573000049/p449477843/,https://content2.rozetka.com.ua/goods/images/big_tile/470399230.jpg,−27%
Вино ігристе Corte Rosa Lambrusco Rosso червоне напівсолодке IGT 0.75 л 7.5% (8003325607352),Вино,209,220,5,4.3,63,Готово до відправки,https://rozetka.com.ua/ua/lambrusco-8003325607352/p325538812/,https://content.rozetka.com.ua/goods/images/big_tile/235123240.jpg,
Шампанське Moet & Chandon Brut Imperial EOY 2025 біле сухе 0.75 л 12.5% у подарунковій упаковці (3185370827543),Шампанське,3648,,,5.0,1,Невідомо,https://rozetka.com.ua/ua/moet-chandon-3185370827543/p554492862/,https://content.rozetka.com.ua/goods/images/big_tile/613149958.jpg,
Вино ігристе Chateau Chizay Carpathian Sekt Черсегі біле брют 0.75 л 11.5% (4820001633795),Вино,244,,,4.2,26,Готово до відправки,https://rozetka.com.ua/ua/chateau_chizay_4820001633795/p271142306/,https://content.rozetka.com.ua/goods/images/big_tile/10712903.jpg,
Подарунковий набір Chateau Chizay Chersegi біле сухе 0.75 л 11.5-12.5% + 2 келихи (4820001632453),Подарунковий,801,,,,,Готово до відправки,https://rozetka.com.ua/ua/chateau-chizay-4820001632453/p402861219/,https://content.rozetka.com.ua/goods/images/big_tile/378273874.jpg,
Вино ігристе Tosti Prosecco D.O.C. біле екстрасухе 0.75 л 11% (8034042190759),Вино,395,565,30,4.1,15,Невідомо,https://rozetka.com.ua/ua/tosti_8034042190759/p99691028/,https://content.rozetka.com.ua/goods/images/big_tile/15596590.jpg,−30%
Вермут Martini Fiero 0.75 л 15% + Тонік 0.75 л (8011210097058M),Вермут,369,569,35,,,Готово до відправки,https://rozetka.com.ua/ua/martini-8011210097058m/p547507545/,https://content1.rozetka.com.ua/goods/images/big_tile/600877542.jpg,ТОП ПРОДАЖІВ
Вино Terra Linda Garnacha червоне сухе 0.75 л 14% (8436570000362),Вино,269,529,49,4.7,20,Готово до відправки,https://rozetka.com.ua/ua/terra-linda-8436570000362/p444699710/,https://content2.rozetka.com.ua/goods/images/big_tile/459844234.jpg,−49%
Вино ігристе Canti Prosecco Millesimato біле екстра-сухе 0.75 л 11% (8005415046447),Вино,399,483,17,4.6,23,Невідомо,https://rozetka.com.ua/ua/canti_8005415046447/p26454865/,https://content.rozetka.com.ua/goods/images/big_tile/306529247.jpg,−17%
Портвейн Caves Santa Marta Tawny коричневий 0.75 л 19% (5601878430446),Портвейн,349,600,42,4.1,17,Невідомо,https://rozetka.com.ua/ua/caves_santa_marta_5601878430446/p271157071/,https://content.rozetka.com.ua/goods/images/big_tile/44453271.jpg,ТІЛЬКИ В ROZETKA
Коктейль Martini Bellini рожевий солодкий 0.75 л 8% (8000570149804_8000570083306),Коктейль,279,440,37,4.4,22,Невідомо,https://rozetka.com.ua/ua/martini_8000570149804_8000570083306/p5842827/,https://content.rozetka.com.ua/goods/images/big_tile/586763538.jpg,−37%
Вино ігристе Collinobili Blanc de Blancs Spumante Millesimato біле екстра-сухе 0.75 л 11% (8005400014048),Вино,259,339,24,4.3,6,Готово до відправки,https://rozetka.com.ua/ua/collinobili-8005400014048/p428589770/,https://content1.rozetka.com.ua/goods/images/big_tile/427390506.jpg,ТІЛЬКИ В ROZETKA
Шампанське Veuve Clicquot Ponsandin Brut біле брют 0.75 л 12% в подарунковій упаковці (3049614083891)3049614225802),Шампанське,2899,3495,17,3.0,3,Невідомо,https://rozetka.com.ua/ua/veuve_clicquot_3049614083891/p5492469/,https://content.rozetka.com.ua/goods/images/big_tile/48293384.jpg,−17%
Вино ігристе Freixenet Alcohol Free Sparkling White біле напівсухе низькокалорійне 0.75 л Безалкогольне (8410384003016),Вино,249,330,25,4.0,7,Невідомо,https://rozetka.com.ua/ua/freixenet-8410384003016/p386892909/,https://content.rozetka.com.ua/goods/images/big_tile/349906896.jpg,−25%
Вино ігристе Chateau Chizay біле напівсолодке 0.75 л 11% (4820001633801X),Вино,244,,,4.5,2,Готово до відправки,https://rozetka.com.ua/ua/chateau-chizay-4820001633801x/p455896144/,https://content1.rozetka.com.ua/goods/images/big_tile/482958804.jpg,
Вермут Martini Bianco солодкий 0.75 л 15% (5010677924009),Вермут,299,409,27,4.9,50,Невідомо,https://rozetka.com.ua/ua/martini_5010677924009/p5831301/,https://content2.rozetka.com.ua/goods/images/big_tile/605872234.jpg,ТОП ПРОДАЖІВ
Вино IL CENTRO Pinot Grigio delle Venezie біле сухе 0.75 л 12% (8033116403146),Вино,220,300,27,4.3,10,Невідомо,https://rozetka.com.ua/ua/il-centro-8033116403146/p446846363/,https://content.rozetka.com.ua/goods/images/big_tile/464615240.jpg,ТІЛЬКИ В ROZETKA
Вино ігристе Leleka Wines Brut біле брют 0.75 л 12% (4820004385554),Вино,215,294,27,4.0,10,Невідомо,https://rozetka.com.ua/ua/leleka-wines-4820004385554/p427049273/,https://content1.rozetka.com.ua/goods/images/big_tile/424670790.jpg,
Вино ігристе Mionetto Prestige Collection Prosecco Treviso DOC біле брют 0.75 л 11% (8006220001669),Вино,389,529,26,4.7,22,Невідомо,https://rozetka.com.ua/ua/mionetto_8006220001669/p135091970/,https://content1.rozetka.com.ua/goods/images/big_tile/18113066.jpg,−26%
Вино ігристе Chiarli Lambrusco Bianco біле напівсолодке 0.75 л (8003325003406_2200077000776),Вино,199,238,16,4.6,53,Невідомо,https://rozetka.com.ua/ua/chiarli_8003325003406/p11307468/,https://content.rozetka.com.ua/goods/images/big_tile/10801636.jpg,−16%
Вино ігристе Mare Magnum Castel Mare Prosecco Rose рожеве екстрасухе 0.75 л 11.5% (7340048607162),Вино,599,745,20,5.0,2,Невідомо,https://rozetka.com.ua/ua/mare_magnum_7340048607162/p264451326/,https://content1.rozetka.com.ua/goods/images/big_tile/417929896.jpg,−20%
Вино ігристе Cantine Pellegrino Zebo Moscato IGT 2013 0.75 л біле солодке 7% (8004445030518),Вино,290,439,34,4.0,27,Готово до відправки,https://rozetka.com.ua/ua/cantine_pellegrino_8004445030518/p109591242/,https://content2.rozetka.com.ua/goods/images/big_tile/16342713.jpg,АКЦІЯ
