title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
Міцелярна вода Byphasse Solución micelar 500 мл,https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-byphasse-soluci-n-micelar-500-ml.html,https://cdn.27.ua/190/50/3b/6508603_1.jpeg,390,,,,,В наявності,1+1=3,Міцелярна,
"Міцелярна вода Family Doctor для всіх типів шкіри, навіть для дуже сухої 500 мл",https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-family-doctor-dlya-vsekh-tipov-kozhi-dazhe-dlya-ochen-sukhoy-500-ml.html,https://cdn.27.ua/190/2c/77/339063_4.jpeg,103,,,,,В наявності,,Family Doctor,
Серветки матувальні Beautyderm з гіалуроновою кислотою 80 шт./уп.,https://epicentrk.ua/ua/shop/servetky-matuvalni-beautyderm-z-hialuronovoiu-kyslotoiu-80-sht-up.html,https://cdn.27.ua/190/17/af/8132527_2.jpeg,43,,,,,В наявності,,Серветки,
Міцелярна вода Nivea MicellAIR Дихання шкіри для нормальної та комбінованої шкіри 400 мл,https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-nivea-micellair-dykhanie-kozhi-dlya-normalnoy-i-kombinirovannoy-kozhi-400-ml.html,https://cdn.27.ua/190/b1/84/897412_5.jpeg,110,,,,,В наявності,Чесна Вигода ,NIVEA,
Міцелярна вода Nivea заспокоююча для чутливої шкіри 400 мл,https://epicentrk.ua/ua/shop/mitseliarna-voda-nivea-zaspokoiuiucha-dlia-chutlyvoi-shkiry-400-ml.html,https://cdn.27.ua/190/f0/87/8056967_1.jpeg,118,158,39,,,В наявності,Акція -24%,NIVEA,25
Міцелярна вода Mixa Anti-redness Micellar Water Anti-irritation 400 мл 1 шт./уп.,https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-mixa-anti-redness-micellar-water-anti-irritation-400-ml-1-sht-up.html,https://cdn.27.ua/190/c9/bf/1296831_3.jpeg,240,283,42,,,В наявності,Акція -14%,Mixa,15
Серветки міцелярні Naturelle для зняття макіяжу з екстрактом огірка 20 шт./уп.,https://epicentrk.ua/ua/shop/volohi-servetky-naturelle-dlia-zniattia-makiiazhu-z-mitseliarnoiu-vodoiu-ta-ekstraktom-ohirka-20-sht-up.html,https://cdn.27.ua/190/3d/31/7093553_1.jpeg,31,,,,,В наявності,,Серветки,
Серветки матувальні Beautyderm з вугільним порошком 80 шт.,https://epicentrk.ua/ua/shop/servetky-matuvalni-beautyderm-z-vuhilnym-poroshkom-80-sht.html,https://cdn.27.ua/190/bf/69/6864745_2.jpeg,34,49,14,,,В наявності,-30%,Серветки,31
Міцелярна вода Nivea MicellAIR для чутливої шкіри 100 мл,https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-nivea-micellair-dykhanie-kozhi-dlya-chuvstvitelnoy-kozhi-100-ml.html,https://cdn.27.ua/190/6a/05/1010181_7.jpeg,68,91,22,,,В наявності,Акція -25%,NIVEA,25
Молочко Byphasse Douceur 500 мл,https://epicentrk.ua/ua/shop/molochko-byphasse-douceur-500-ml.html,https://cdn.27.ua/190/50/4b/6508619_1.jpeg,315,,,,,В наявності,1+1=3,Молочко,
Міцелярна вода Garnier Skin Naturals з трояндовою водою для очищення шкіри обличчя 100 мл,https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-garnier-skin-naturals-s-rozovoy-vodoy-dlya-ochischeniya-kozhi-litsa-100-ml.html,https://cdn.27.ua/190/d0/96/2216086_1.jpeg,110,,,,,В наявності,,Garnier,
Міцелярна вода Dermedic Redness Calm для чутливої шкіри 500 мл,https://epicentrk.ua/ua/shop/mitseliarna-voda-dermedic-redness-calm-dlia-chutlyvoi-shkiry-500-ml.html,https://cdn.27.ua/190/ea/c3/9038531_1.jpeg,344,,,,,В наявності,1+1=3,Міцелярна,
Міцелярна вода L'Oreal Paris Skin Expert для сухої та чутливої шкіри 400 мл,https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-garnier-skin-expert-dlya-sukhoy-i-chuvstvitelnoy-kozhi-400-ml.html,https://cdn.27.ua/190/23/b6/598966_4.jpeg,220,293,73,,,В наявності,Чесна Вигода -25%,L'Oreal Paris,25
Олія гідрофільна Weleda для зняття макіяжу з органічним гамамелісом 150 мл,https://epicentrk.ua/ua/shop/oliia-hidrofilna-weleda-dlia-zniattia-makiiazhu-z-orhanichnym-hamamelisom-150-ml.html,https://cdn.27.ua/190/bf/3f/8634175_2.jpeg,522,,,,,В наявності,1+1=3,Weleda,
Набір Dr.Ceuracle для двоетапного очищення шкіри з пробіотиками Dr.Ceuracle Pro Balance Cleansing Duo Set,https://epicentrk.ua/ua/shop/nabir-dr-ceuracle-dlia-dvoetapnoho-ochyshchennia-shkiry-z-probiotykamy-dr-ceuracle-pro-balance-cleansing-duo-set.html,https://cdn.27.ua/190/f8/a5/9042085_2.jpeg,1390,,,,,В наявності,1+1=3,Dr.Ceuracle,
Засіб для зняття макіяжу Weleda 2 в 1 Очищення і тонізація 100 мл,https://epicentrk.ua/ua/shop/sredstvo-dlya-snyatiya-makiyazha-weleda-2-v-1-ochischenie-i-tonizatsiya-100-ml.html,https://cdn.27.ua/190/54/1b/1004571_1.jpeg,462,,,,,В наявності,1+1=3,Weleda,
Засіб для зняття макіяжу Garnier Основний догляд 2 в 1 200 мл,https://epicentrk.ua/ua/shop/demakiyazh-osnovnoy-ukhod-2v1.html,https://cdn.27.ua/190/0e/7d/134781_6.jpeg,246,,,,,В наявності,,Garnier,
Міцелярна вода Nivea Energy з антиоксидантами 400 мл,https://epicentrk.ua/ua/shop/mitseliarna-voda-nivea-energy-z-antyoksydantamy-400-ml.html,https://cdn.27.ua/190/b8/61/7190625_1.jpeg,194,,,,,В наявності,,NIVEA,
Міцелярна вода Ziaja Jeju 390 мл,https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-ziaja-jeju-390-ml.html,https://cdn.27.ua/190/0f/18/3673880_1.jpeg,140,201,60,,,В наявності,Акція -30%,Ziaja,30
Міцелярна вода Byphasse з активованим вугіллям 500 мл,https://epicentrk.ua/ua/shop/mitseliarna-voda-byphasse-z-aktyvovanym-vuhilliam-500-ml.html,https://cdn.27.ua/190/d1/eb/7655915_2.jpeg,390,,,,,В наявності,1+1=3,Міцелярна,
Міцелярна вода Beautyderm Ready?Glow! 200 мл,https://epicentrk.ua/ua/shop/mitseliarna-voda-beautyderm-ready-glow-200-ml.html,https://cdn.27.ua/190/39/93/7092627_2.jpeg,89,99,10,,,В наявності,-10%,Міцелярна,10
