title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
"Крем для обличчя денний денний Tink Денний зволожуючий крем для обличчя Tink 50 мл 50 мл0,175 г",https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-dennyi-dennyi-tink-dennyi-zvolozhuiuchyi-krem-dlia-oblychchia-tink-50-ml-50-ml0-175-h.html,https://cdn.27.ua/190/e4/77/7529591_1.jpeg,124,178,53,,,В наявності,Акція -30%,Tink,30
Крем день-ніч Ziaja intensely nourishing Натуральний Оливковий 50 мл,https://epicentrk.ua/ua/shop/krem-dlya-litsa-ziaja-olivkovyy-naturalnyy-50-ml.html,https://cdn.27.ua/190/5e/23/89635_12.jpeg,126,,,,,В наявності,,Ziaja,
Крем для обличчя нічний Dermedic Normacne проти недосконалостей шкіри 40 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-nichnyi-dermedic-normacne-proty-nedoskonalostei-shkiry-40-ml.html,https://cdn.27.ua/190/ea/c5/9038533_2.jpeg,433,,,,,В наявності,1+1=3,Крем,
Крем для обличчя Weleda від вітру та холоду Колдкрем 30 мл,https://epicentrk.ua/ua/shop/krem-dlya-litsa-weleda-ot-vetra-i-kholoda-koldkrem-30-ml.html,https://cdn.27.ua/190/54/07/1004551_2.jpeg,462,,,,,В наявності,1+1=3,Weleda,
Крем поживний для обличчя для сухої шкіри геронтол свобода Healer cosmetics 40 г,https://epicentrk.ua/ua/shop/mplc-krem-pozivnij-dla-oblicca-dla-suhoi-skiri-gerontol-svoboda-healer-cosmetics-40-g-1f0355e9-0632-6f5c-ab18-27ec67fc51ec.html,https://cdn.27.ua/sc--media--prod/default/f4/a9/23/f4a92396-dffa-4642-9e0c-8af20c6fa111.jpg,145,,,,,В наявності,,HEALER®,
Крем для обличчя день-ніч Lirene Collagen Glow 50 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-den-nich-lirene-collagen-glow-50-ml.html,https://cdn.27.ua/190/62/c1/8610497_1.jpeg,149,230,80,,,В наявності,Акція -35%,Lirene,35
Крем для обличчя Hydra Pro Glow Kiko Milano 50 мл,https://epicentrk.ua/ua/shop/mplc-krem-dlya-oblichchya-hydra-pro-glow-kiko-milano-50-ml-1ec4c7dc-9d29-6f70-ab77-696c9d12973c.html,https://cdn.27.ua/sc--media--prod/default/8d/d0/48/8dd048af-a2d6-473e-a4c3-8f394a8bdf9e.jpg,995,1250,255,,,В наявності,-20%,Kiko Milano,20
Крем для обличчя день-ніч TRANSPARENT-LAB Зміцнюючий 50 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-den-nich-transparent-lab-zmitsniuiuchyi-50-ml.html,https://cdn.27.ua/190/47/29/7161641_3.jpeg,1212,,,,,В наявності,1+1=3,TRANSPARENT Lab,
Крем для обличчя день-ніч Tink зволожуючий проти зморшок з ліфтинг ефектом 50 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-den-nich-tink-zvolozhuiuchyi-proty-zmorshok-z-liftynh-efektom-50-ml.html,https://cdn.27.ua/190/e4/81/7529601_1.jpeg,124,178,53,,,В наявності,Акція -30%,Tink,30
Крем для обличчя нічний Nivea LUMINOUS 630 Вирівнювання тону 50 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-nichnyi-nivea-luminous-630-vyrivniuvannia-tonu-50-ml.html,https://cdn.27.ua/190/c5/27/7390503_10.jpeg,409,630,220,,,В наявності,Акція -34%,NIVEA,35
"Крем для обличчя денний Famirel інтенсивно зволожувальний з гіалуроновою кислотою, вітамінами і мінералами Мертвого моря 50",https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-dennyi-famirel-intensyvno-zvolozhuvalnyi-z-hialuronovoiu-kyslotoiu-vitaminamy-i-mineralamy-mertvoho-moria-50.html,https://cdn.27.ua/190/4c/17/8735767_1.jpeg,279,399,119,,,В наявності,Акція -30%,Famirel,30
День-ніч Caudalie Vinohydra Зволожувальний Крем Сорбет 60 мл 60 мл70 г,https://epicentrk.ua/ua/shop/den-nich-caudalie-vinohydra-zvolozhuvalnyi-krem-sorbet-60-ml-60-ml70-h.html,https://cdn.27.ua/190/30/9d/8597661_5.jpeg,999,,,,,В наявності,1+1=3,День-ніч,
Крем для обличчя день-ніч Sane для сухої шкіри з олією манго + ши 40 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-den-nich-sane-dlia-sukhoi-shkiry-z-oliieiu-manho-shy-40-ml.html,https://cdn.27.ua/190/24/07/6956039_1.jpeg,199,,,,,В наявності,,Sane,
Крем для шкіри навколо очей Nivea HYALURON CELLULAR 15 мл,https://epicentrk.ua/ua/shop/krem-dlya-kozhi-vokrug-glaz-nivea-hyaluron-cellular-15-ml.html,https://cdn.27.ua/190/78/8c/620684_18.jpeg,367,564,197,,,В наявності,Акція -35%,NIVEA,35
Крем для обличчя день-ніч BABE Laboratorios Facial Essentials Зволожуючий і живильний з SPF 20 50 мл,https://epicentrk.ua/ua/shop/krem-dlya-litsa-den-noch-babe-facial-essentials-uvlazhnyayuschiy-i-pitatelnyy-s-spf-20-50-ml.html,https://cdn.27.ua/190/2d/18/1060120_1.jpeg,903,,,,,В наявності,1+1=3,BABE Laboratorios,
Крем-гель зволожуючий з церамідами BYOMA Moisturising Gel Cream 50 ml (19365215),https://epicentrk.ua/ua/shop/mplc-krem-gel-zvolozuucij-z-ceramidami-byoma-moisturising-gel-cream-50-ml-19365215-1ef549ba-0a5e-630e-847a-a3adb89fda21.html,https://cdn.27.ua/sc--media--prod/default/3c/1e/2a/3c1e2a1d-c9d4-4afc-a1fa-ffdce3873e7b.jpg,899,999,100,,,В наявності,-10%,BYOMA,10
Крем денний Family Doctor Антивіковий 75 мл,https://epicentrk.ua/ua/shop/krem-dlya-litsa-family-doctor-dnevnoy-antivozrastnoy-75-ml.html,https://cdn.27.ua/190/7e/0d/97805_6.jpeg,30,43,13,,,В наявності,Акція -29%,Family Doctor,30
Крем для обличчя день-ніч Caudalie Vinohydra Інтенсивний зволожувальний 60 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-den-nich-caudalie-vinohydra-intensyvnyi-zvolozhuvalnyi-60-ml.html,https://cdn.27.ua/190/30/99/8597657_9.jpeg,999,,,,,В наявності,1+1=3,Крем,
Крем для обличчя нічний Famirel Collagen 50 мл250 г,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-nichnyi-famirel-collagen-50-ml250-h.html,https://cdn.27.ua/190/4c/25/8735781_1.jpeg,314,449,134,,,В наявності,Акція -30%,Famirel,30
"Крем для обличчя VivaOliva Mezo Peptides+Hyaluron Активне живлення 0,75 мл100 г",https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-vivaoliva-mezo-peptides-hyaluron-aktyvne-zhyvlennia-0-75-ml100-h.html,https://cdn.27.ua/190/41/2f/8143151_1.jpeg,101,145,43,,,В наявності,Акція -30%,Крем,30
Крем для шкіри навколо очей Ziaja Оливковий 15 мл,https://epicentrk.ua/ua/shop/krem-pod-glaz-ziaja-olivkovyy.html,https://cdn.27.ua/190/2b/30/207664_11.jpeg,98,140,42,,,В наявності,Акція -30%,Ziaja,30
Крем для обличчя день-ніч TANOYA з фітоестрогенами для зрілої шкіри 50 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-den-nich-tanoya-z-fitoestrohenamy-dlia-zriloi-shkiry-50-ml.html,https://cdn.27.ua/190/f0/6d/6615149_2.jpeg,375,,,,,В наявності,1+1=3,TANOYA,
"Крем для обличчя день-ніч VivaOliva зволожувальний SPF-15 0,75 мл100 г",https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-den-nich-vivaoliva-zvolozhuvalnyi-spf-15-0-75-ml100-h.html,https://cdn.27.ua/190/41/37/8143159_1.jpeg,101,145,43,,,В наявності,Акція -30%,Крем,30
"Крем для обличчя нічний Famirel живильний з вітамінами, мінералами Мертвого моря 50 мл",https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-nichnyi-famirel-zhyvylnyi-z-vitaminamy-mineralamy-mertvoho-moria-50-ml.html,https://cdn.27.ua/190/4c/19/8735769_1.jpeg,279,399,119,,,В наявності,Акція -30%,Famirel,30
Крем антивіковий денний BIOTEN Nutricalcium 50 мл,https://epicentrk.ua/ua/shop/krem-antyvikovyi-dennyi-bioten-nutricalcium-50-ml.html,https://cdn.27.ua/190/0f/07/7671559_1.jpeg,352,486,134,,,В наявності,-27%,BIOTEN,28
Крем антивіковий нічний BIOTEN Nutricalcium 50 мл,https://epicentrk.ua/ua/shop/krem-antyvikovyi-nichnyi-bioten-nutricalcium-50-ml.html,https://cdn.27.ua/190/0f/01/7671553_1.jpeg,352,486,134,,,В наявності,-27%,BIOTEN,28
Крем для обличчя день-ніч Lirene Відновлювальний проти зморшок 70+ 50 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-den-nich-lirene-vidnovliuvalnyi-proty-zmorshok-70-50-ml.html,https://cdn.27.ua/190/62/bf/8610495_1.jpeg,149,230,80,,,В наявності,Акція -35%,Lirene,35
Крем-ліфтинг для обличчя денний Weleda Гранат та пептиди Маки перуанської 40 мл,https://epicentrk.ua/ua/shop/krem-liftynh-dlia-oblychchia-dennyi-weleda-hranat-ta-peptydy-maky-peruanskoi-40-ml.html,https://cdn.27.ua/190/bd/01/7257345_1.jpeg,912,,,,,В наявності,1+1=3,Weleda,
Крем мультифункціональний BABE Laboratorios для обличчя та тіла travel 100 мл,https://epicentrk.ua/ua/shop/krem-multyfunktsionalnyi-babe-laboratorios-dlia-oblychchia-ta-tila-travel-100-ml.html,https://cdn.27.ua/190/c2/21/6930977_1.jpeg,275,,,,,В наявності,1+1=3,BABE Laboratorios,
Крем-ліфтинг для обличчя проти зморшок Vichy Liftactiv Collagen Specialist 16 Day 50 мл (2627677381),https://epicentrk.ua/ua/shop/mplc-krem-lifting-dla-oblicca-proti-zmorsok-vichy-liftactiv-collagen-specialist-16-day-50-ml-2627677381-1f03fddb-7c32-69d8-8af0-71ba4ea6a496.html,https://cdn.27.ua/sc--media--prod/default/35/cc/e7/35cce7d2-57f9-4891-8fa9-a7187157d422.jpg,1235,1350,115,,,В наявності,-8%,Vichy,9
Крем під очі день-ніч Weleda Блу Джентіана та Едельвейс альпійський 10 мл,https://epicentrk.ua/ua/shop/krem-pid-ochi-den-nich-weleda-blu-dzhentiana-ta-edelveis-alpiiskyi-10-ml.html,https://cdn.27.ua/190/79/65/8157541_1.jpeg,1044,,,,,В наявності,1+1=3,Weleda,
Крем-гель день-ніч Lirene Мигдальний очисний з Д-пантенолом 150 мл,https://epicentrk.ua/ua/shop/krem-gel-dlya-litsa-den-noch-lirene-mindalnyy-ochistitelnyy-s-d-pantenolom-150-ml.html,https://cdn.27.ua/190/6a/0a/1141258_1.jpeg,199,,,,,В наявності,,Lirene,
Крем для обличчя нічний Tink відновлюючий 50 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-nichnyi-tink-vidnovliuiuchyi-50-ml.html,https://cdn.27.ua/190/e4/79/7529593_4.jpeg,124,178,53,,,В наявності,Акція -30%,Tink,30
Крем зволожувальний нічний CeraVe PM Facial Moisturising Lotion для нормальної та сухої шкіри обличчя (1738486889),https://epicentrk.ua/ua/shop/mplc-krem-zvolozuval-nij-nicnij-cerave-pm-facial-moisturising-lotion-dla-normal-noi-ta-suhoi-skiri-oblicca-1738486889-1f0a93de-07a6-6912-8626-df65641eed6d.html,https://cdn.27.ua/sc--media--prod/default/c0/b9/d8/c0b9d822-c5f7-4fd9-a3cf-610128db046b.jpg,599,647,48,,,В наявності,-7%,CeraVe,7
Крем-ліфтинг для обличчя денний Famirel із пептидами міді 50 мл,https://epicentrk.ua/ua/shop/krem-liftynh-dlia-oblychchia-dennyi-famirel-iz-peptydamy-midi-50-ml.html,https://cdn.27.ua/190/4c/31/8735793_1.jpeg,468,669,200,,,В наявності,Акція -30%,Famirel,30
Крем для обличчя день-ніч Nivea Care зволожуючий для всіх типів шкіри 100 мл,https://epicentrk.ua/ua/shop/krem-dlya-litsa-den-noch-nivea-care-uvlazhnyayuschiy-dlya-vsekh-tipov-kozhi-100-ml.html,https://cdn.27.ua/190/35/e9/341481_12.jpeg,214,,,,,В наявності,,NIVEA,
Крем для обличчя нічний L'Oreal Paris Гіалурон експерт 50 мл,https://epicentrk.ua/ua/shop/krem-maska-nochnoy-l-oreal-paris-gialuron-ekspert-50-ml.html,https://cdn.27.ua/190/6a/01/1141249_14.jpeg,293,419,126,,,В наявності,Чесна Вигода -30%,L'Oreal Paris,30
Крем для обличчя день-ніч Needly заспокійливий з пантенолом Panthenol Water Gel Cream 50 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-den-nich-needly-zaspokiilyvyi-z-pantenolom-panthenol-water-gel-cream-50-ml.html,https://cdn.27.ua/190/f7/bd/9041853_6.jpeg,850,,,,,В наявності,1+1=3,Needly,
Крем для обличчя денний L'Oreal Paris Skin Expert 65+ 50 мл,https://epicentrk.ua/ua/shop/krem-dlya-litsa-dnevnoy-l-oreal-paris-skin-expert-65-50-ml.html,https://cdn.27.ua/190/e8/71/1042545_17.jpeg,251,335,84,,,В наявності,Чесна Вигода -25%,L'Oreal Paris,25
Крем для обличчя денний Nivea MEN «Захист та догляд» 75 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-dennyi-nivea-men-zakhyst-ta-dohliad-75-ml.html,https://cdn.27.ua/190/8d/33/7245107_1.jpeg,181,242,60,,,В наявності,Акція -24%,NIVEA,25
Крем для обличчя день-ніч Lirene з ефектом ліфтингу 50 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-den-nich-lirene-z-efektom-liftynhu-50-ml.html,https://cdn.27.ua/190/62/d5/8610517_1.jpeg,163,251,88,,,В наявності,Акція -35%,Lirene,35
Гель день-ніч Sane від прищів 10 мл,https://epicentrk.ua/ua/shop/hel-den-nich-sane-vid-pryshchiv-10-ml.html,https://cdn.27.ua/190/24/13/6956051_3.jpeg,186,249,62,,,В наявності,Акція -25%,Sane,25
Крем для обличчя день-ніч Чистая Линия Ідеальна шкіра Ідеальна шкіра 50 мл,https://epicentrk.ua/ua/shop/krem-dlya-litsa-den-noch-chistaya-liniya-idealnaya-kozha-idealnaya-kozha-50-ml.html,https://cdn.27.ua/190/9b/4a/1219402_12.jpeg,75,,,,,В наявності,,Чистая Линия,
Крем для обличчя La Roche-Posay Toleriane Rosaliac AR SPF 30 50 мл (2426638247),https://epicentrk.ua/ua/shop/mplc-krem-dla-oblicca-la-roche-posay-toleriane-rosaliac-ar-spf-30-50-ml-2426638247-1efac198-3c66-6d6e-b3d5-bf14fe04633f.html,https://cdn.27.ua/sc--media--prod/default/1a/da/5e/1ada5e32-836e-4a97-a1e0-1743bca0105f.jpg,1070,1300,230,,,В наявності,-17%,La Roche-Posay,18
Крем для обличчя нічний Nivea проти зморщок + ревіталізація 55+ 50 мл,https://epicentrk.ua/ua/shop/krem-nochnoy-nivea-energiya-molodosti-55-50-ml.html,https://cdn.27.ua/190/21/35/598325_5.jpeg,213,,,,,В наявності,,NIVEA,
Крем день-ніч Lirene Зволоження та Живлення Мигдальне масло 50 мл,https://epicentrk.ua/ua/shop/krem-dlya-litsa-lirene-razglazhivayushchiy-pitatelnyy-mindalnoe-maslo-50-ml.html,https://cdn.27.ua/190/3f/dd/147421_15.jpeg,199,,,,,В наявності,,Lirene,
Крем для обличчя Biogened HYDRAIN3 HIALURO глибокозволожувальний 50 мл,https://epicentrk.ua/ua/shop/krem-dermedic-hydrain3-hialuro-glubokouvlazhnyayuschiy-50-ml.html,https://cdn.27.ua/190/61/6f/549231_1.jpeg,433,,,,,В наявності,1+1=3,Крем,
Крем для обличчя нічний Sane з пребіотиком і скваланом 40 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-nichnyi-sane-z-prebiotykom-i-skvalanom-40-ml.html,https://cdn.27.ua/190/24/31/6956081_1.jpeg,209,299,89,,,В наявності,Акція -30%,Sane,30
Крем для обличчя день-ніч Dr.Ceuracle зволожуючий крем з пробіотиками 100 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-den-nich-dr-ceuracle-zvolozhuiuchyi-krem-z-probiotykamy-100-ml.html,https://cdn.27.ua/190/f8/ad/9042093_1.jpeg,1090,,,,,В наявності,1+1=3,Dr.Ceuracle,
Крем для обличчя день-ніч Perfect Beauty воложуючийдля для всіх типів шкіри 50 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-den-nich-perfect-beauty-volozhuiuchyidlia-dlia-vsikh-typiv-shkiry-50-ml.html,https://cdn.27.ua/190/d7/25/7198501_2.jpeg,174,269,94,,,В наявності,Акція -35%,Perfect Beauty,35
Крем для корекції пігментних плям з ретинолом Vichy LiftActiv B3 50 мл (2439949999),https://epicentrk.ua/ua/shop/mplc-krem-dla-korekcii-pigmentnih-plam-z-retinolom-vichy-liftactiv-b3-50-ml-2439949999-1effde72-dced-6728-b4d9-73c96b84c0c2.html,https://cdn.27.ua/sc--media--prod/default/86/aa/ec/86aaecdc-efc5-4d16-84a0-30e74d2830b3.jpg,1250,,,,,В наявності,,Vichy,
Крем для шкіри навколо очей Ziaja Козяче молоко 15 мл,https://epicentrk.ua/ua/shop/krem-dlya-glaz-ziaja-koze-moloko.html,https://cdn.27.ua/190/5e/28/89640_10.jpeg,98,140,42,,,В наявності,Акція -30%,Ziaja,30
Крем для обличчя ночной для зрелой кожи Vichy Neovadiol Rose Platinum Night Cream 50 мл,https://epicentrk.ua/ua/shop/mplc-krem-dla-oblicca-nocnoj-dla-zreloj-kozi-vichy-neovadiol-rose-platinum-night-cream-50-ml-1ef8a3fb-5cb6-648c-9a3e-894de7c79126.html,https://cdn.27.ua/sc--media--prod/default/2d/e1/a4/2de1a411-b692-4113-b00c-09b39b718432.jpg,1085,,,,,В наявності,,Vichy,
Сонцезахисний крем з центелою Benton Air Fit UV defense Sun Cream SPF50+/PA++++ 50 мл (2245278185),https://epicentrk.ua/ua/shop/mplc-soncezahisnij-krem-z-centelou-benton-air-fit-uv-defense-sun-cream-spf50-pa-50-ml-2245278185-1f048a57-3565-64b6-80a2-c72134772f6d.html,https://cdn.27.ua/sc--media--prod/default/12/60/d6/1260d65b-657e-4281-bd11-550f4dc90400.png,684,900,216,,,В наявності,-24%,Benton,24
Крем для обличчя нічний Weleda Дика троянда та білий чай розгладжуючий 40 мл,https://epicentrk.ua/ua/shop/krem-dlia-oblychchia-nichnyi-weleda-dyka-troianda-ta-bilyi-chai-rozghladzhuiuchyi-40-ml.html,https://cdn.27.ua/190/6e/05/9334277_1.jpeg,780,,,,,В наявності,1+1=3,Weleda,
Засіб денний Mermade точковий підсушуючий від висипань MERMADE Zinc oxide & Tea Tree Oil 10 мл,https://epicentrk.ua/ua/shop/zasib-dennyi-mermade-tochkovyi-pidsushuiuchyi-vid-vysypan-mermade-zinc-oxide-tea-tree-oil-10-ml.html,https://cdn.27.ua/190/74/85/9401477_3.jpeg,259,,,,,В наявності,,Mermade,
