title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
"Кондиціонер для білизни Coccolino Orange Rush 1,7 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-coccolino-orange-rush-1-7-l.html,https://cdn.27.ua/190/72/a7/9269927_3.jpeg,179,278,99,,,В наявності,Чесна Вигода -35%,Кондиціонер,36
"Кондиціонер-ополіскувач Silan Ароматерапія Казковий лотос+Захоплюючий франджипані 1,1 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-silan-aromaterapiia-kazkovyi-lotos-zakhopliuiuchyi-frandzhypani-1-1-l.html,https://cdn.27.ua/190/b3/2b/7910187_1.jpeg,279,434,155,,,В наявності,Чесна Вигода -35%,Silan,36
Кондиціонер-ополіскувач ORIGAMI Соковите манго 4 л,https://epicentrk.ua/ua/shop/konditsioner-dlya-belya-origami-cochnoe-mango-4-l.html,https://cdn.27.ua/190/ef/0c/1437452_1.jpeg,129,159,30,,,В наявності,Чесна Вигода -18%,ORIGAMI,19
"Кондиціонер-ополіскувач Frosch Інжир 0,75 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-frosch-inzhyr-0-75-l.html,https://cdn.27.ua/190/77/6f/7042927_1.jpeg,89,163,73,,,В наявності,Чесна Вигода -45%,Frosch,45
Кондиціонер-ополіскувач Frosch Квіти Гібіскуса 1 л,https://epicentrk.ua/ua/shop/kondytsioner-opoliskuvach-frosch-kvity-hibiskusa-1-l.html,https://cdn.27.ua/190/ff/09/9240329_1.jpeg,109,182,73,,,В наявності,Чесна Вигода -40%,Frosch,40
"Кондиціонер-ополіскувач Silan Елеганс+Блоссом 1,012 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-silan-elehans-blossom-1-012-l.html,https://cdn.27.ua/190/b3/2d/7910189_1.jpeg,259,444,185,,,В наявності,Чесна Вигода -41%,Silan,42
Кондиціонер-ополіскувач ORIGAMI Thermal SPA 4 л,https://epicentrk.ua/ua/shop/konditsioner-dlya-belya-origami-thermal-spa-4-l.html,https://cdn.27.ua/190/ef/0b/1437451_1.jpeg,129,159,30,,,В наявності,Чесна Вигода -18%,ORIGAMI,19
"Кондиціонер для білизни Coccolino Passion Flower & Bergamot 0,925 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-coccolino-passion-flower-bergamot-0-925-l.html,https://cdn.27.ua/190/72/9f/9269919_3.jpeg,139,222,83,,,В наявності,Чесна Вигода -37%,Кондиціонер,37
Кондиціонер-ополіскувач Sensua Бриз Карибів 4 л,https://epicentrk.ua/ua/shop/konditsioner-dlya-belya-sensua-briz-karibov-4-l.html,https://cdn.27.ua/190/95/94/2790804_1.jpeg,149,191,42,,,В наявності,Чесна Вигода -22%,Sensua,22
"Кондиціонер-ополіскувач Silan Елеганс+Гламур 1,012 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-silan-elehans-hlamur-1-012-l.html,https://cdn.27.ua/190/b3/35/7910197_1.jpeg,259,444,185,,,В наявності,Чесна Вигода -41%,Silan,42
