title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
"Ром Tanduay Double Rum 0,7 л",https://epicentrk.ua/ua/shop/rom-tanduay-double-rum-0-7-l.html,https://cdn.27.ua/190/12/dd/8917725_1.jpeg,1284,1467,183,,,В наявності,-12%,Tanduay,12
"Текіла Herencia de Plata Herencia de Plata Silver 0,7 л 38%",https://epicentrk.ua/ua/shop/tekila-herencia-de-plata-silver-0-7-l-38.html,https://cdn.27.ua/190/00/11/7012369_1.jpeg,1682,,,,,В наявності,,Herencia de Plata,
"Кальвадос Pere Magloire Fine 0,7 л",https://epicentrk.ua/ua/shop/kalvados-pere-magloire-fine-0-7-l.html,https://cdn.27.ua/190/02/e9/7013097_1.jpeg,1169,1517,348,,,В наявності,-22%,Pere Magloire,23
"Віскі Glen Moray Elgin Classic 0,7 л",https://epicentrk.ua/ua/shop/viski-glen-moray-elgin-classic-0-7-l.html,https://cdn.27.ua/190/b8/59/6994009_1.jpeg,995,1250,254,,,В наявності,-20%,Glen Moray,20
"Віскі Robert Burns бленд 40% тубус 0,7 л",https://epicentrk.ua/ua/shop/viski-robert-burns-blend-40-tubus-0-7-l.html,https://cdn.27.ua/190/90/ff/6983935_1.jpeg,749,975,226,,,В наявності,-23%,Robert Burns,23
"Ром Planteray Grande Reserve 0,7 л",https://epicentrk.ua/ua/shop/rom-planteray-grande-reserve-0-7-l.html,https://cdn.27.ua/190/fc/8c/9895052_1.jpeg,1069,1266,197,,,В наявності,Чесна Вигода -15%,Planteray,16
"Ром Planteray Overproof 69% 0,7 л",https://epicentrk.ua/ua/shop/rom-planteray-overproof-69-0-7-l.html,https://cdn.27.ua/190/fc/8d/9895053_1.jpeg,1199,1417,218,,,В наявності,Чесна Вигода -15%,Planteray,15
"Ром Planteray Original Dark 0,75 л",https://epicentrk.ua/ua/shop/rom-planteray-original-dark-0-75-l.html,https://cdn.27.ua/190/fc/8a/9895050_1.jpeg,767,960,193,,,В наявності,Чесна Вигода -20%,Planteray,20
"Ром Planteray 3 Etoiles 0,7 л",https://epicentrk.ua/ua/shop/rom-planteray-3-etoiles-0-7-l.html,https://cdn.27.ua/190/fc/8b/9895051_1.jpeg,764,899,135,,,В наявності,Чесна Вигода -15%,Planteray,15
"Віскі Gelston's Irish Whiskey односолодовий 0,7 л",https://epicentrk.ua/ua/shop/viski-gelstons-irish-whiskey-odnosolodovyi-0-7-l.html,https://cdn.27.ua/190/fd/7d/7011709_1.jpeg,959,1177,218,,,В наявності,-18%,Gelston's,19
"Текіла Patron Anejo 0,7 л 40%",https://epicentrk.ua/ua/shop/tekila-anejo-0-7-l-40.html,https://cdn.27.ua/190/63/1e/3629854_1.jpeg,2599,3049,450,,,В наявності,-14%,PATRON®,15
"Ром Planteray 5 років витримки Guatemala Gran Anejo в упаковці 42% 0,7 л",https://epicentrk.ua/ua/shop/rom-planteray-5-rokiv-vytrymky-guatemala-gran-anejo-v-upakovtsi-42-0-7-l.html,https://cdn.27.ua/190/fc/90/9895056_1.jpeg,1559,1835,276,,,В наявності,Чесна Вигода -15%,Planteray,15
"Напій алкогольний Chocolatier ""Шоколад та вишня"" 0,5 л",https://epicentrk.ua/ua/shop/napitok-alkogolnyy-chocolatier-shokolad-i-vishnya-0-5-l.html,https://cdn.27.ua/190/02/90/2228880_2.jpeg,144,,,,,В наявності,,Shustoff,
"Бренді Az Granata Баку 0,7 л",https://epicentrk.ua/ua/shop/brendi-az-granata-baku-0-7-l.html,https://cdn.27.ua/190/ed/75/7073141_2.jpeg,723,766,43,,,В наявності,-5%,Az Granata,6
"Віскі Islay Mist 40,00% 0,7 л",https://epicentrk.ua/ua/shop/viski-islay-mist-original-40-00-0-7-l.html,https://cdn.27.ua/190/74/ca/3634378_1.jpeg,603,741,137,,,В наявності,-18%,Islay Mist,19
"Джин SPICER Класичний 0,7 л",https://epicentrk.ua/ua/shop/dzhyn-spicer-klasychnyi-0-7-l.html,https://cdn.27.ua/190/50/bd/9261245_1.jpeg,654,924,270,,,В наявності,-29%,SPICER,29
"Бренді Sandeman Capa Negra Sandeman 0,7л",https://epicentrk.ua/ua/shop/brendi-sandeman-capa-negra-sandeman-0-7l.html,https://cdn.27.ua/190/ec/f7/7073015_1.jpeg,563,634,70,,,В наявності,-11%,Sandeman,11
"Коньяк 3 зiрочки 0,7 л",https://epicentrk.ua/ua/shop/konyak-3-zvezdochki-0-7-l.html,https://cdn.27.ua/190/65/8a/3630474_1.jpeg,512,628,116,,,В наявності,-18%,Sarajishvili,18
"Коньяк Shabo Axiom XO в сувенірній коробці 0,5 л",https://epicentrk.ua/ua/shop/koniak-shabo-axiom-xo-v-suvenirnii-korobtsi-0-5-l.html,https://cdn.27.ua/190/71/c2/9793986_11.jpeg,916,,,,,В наявності,Чесна Вигода ,Shabo,
"Напій алкогольний Shabo Coffee 0,5 л",https://epicentrk.ua/ua/shop/napii-alkoholnyi-shabo-coffee-0-5-l.html,https://cdn.27.ua/190/18/3a/9836602_2.jpeg,149,,,,,В наявності,Чесна Вигода ,Shabo,
"Бренді Shabo Select 0,25 л",https://epicentrk.ua/ua/shop/brendi-shabo-select-0-25-l.html,https://cdn.27.ua/190/18/37/9836599_2.jpeg,89,,,,,В наявності,Чесна Вигода ,Shabo,
Віскі Highland Chief купажований 40% 1 л,https://epicentrk.ua/ua/shop/viski-highland-chief-kupazhovanyi-40-1-l.html,https://cdn.27.ua/190/a7/9d/7645085_2.jpeg,488,659,171,,,В наявності,-26%,Highland Chief,26
Горілка Finlandia Cranberry 1 л,https://epicentrk.ua/ua/shop/vodka-finlandia-klyukva-belaya-37-5-1-0-l.html,https://cdn.27.ua/190/1f/ac/2236332_1.jpeg,515,627,112,,,В наявності,-17%,Finlandia,18
Горілка Finlandia Grapefruit 1 л,https://epicentrk.ua/ua/shop/vodka-finlandia-greypfrut-37-5-1-l.html,https://cdn.27.ua/190/1f/ea/2236394_1.jpeg,510,627,116,,,В наявності,-18%,Finlandia,19
"Віскі Dewar's White Label від 3 років витримки 0,7 л",https://epicentrk.ua/ua/shop/viski-dewar-s-white-label-0-7-l.html,https://cdn.27.ua/190/2b/aa/2239402_1.jpeg,469,635,166,,,В наявності,-26%,Dewar's,26
"Джин Stirling London Dry Gin 37,5% 0,7 л",https://epicentrk.ua/ua/shop/dzhyn-stirling-london-dry-gin-37-5-0-7-l.html,https://cdn.27.ua/190/91/17/6983959_1.jpeg,515,548,32,,,В наявності,-5%,Stirling,6
"Віскі Glenfiddich односолодовий 15 yo 0,05 л",https://epicentrk.ua/ua/shop/viski-glenfiddich-odnosolodovyi-15-yo-0-05-l.html,https://cdn.27.ua/190/de/a9/7593641_1.jpeg,481,493,12,,,В наявності,-2%,Glenfiddich,2
"Горілка ПКЗ плодова Абрикосова 0,5 л",https://epicentrk.ua/ua/shop/vodka-pkz-plodovaya-abrikosovaya-0-5-l.html,https://cdn.27.ua/190/7d/d2/4160978_1.jpeg,241,359,117,,,В наявності,-32%,ПКЗ,33
"Бренді Tiflis Chateau 3 роки 40% 0,5 л",https://epicentrk.ua/ua/shop/brendi-tiflis-chateau-3-roky-40-0-5-l.html,https://cdn.27.ua/190/b4/e3/7845091_2.jpeg,240,295,54,,,В наявності,-18%,Tiflis,19
"Віскі West Cork Stout Cask 0,7 л",https://epicentrk.ua/ua/shop/viski-west-cork-stout-cask-0-7-l.html,https://cdn.27.ua/190/12/db/8917723_1.jpeg,1139,,,,,В наявності,,West Cork,
"Коньяк Тиса 3 роки витримки 40% (4820139280267) 0,5 л",https://epicentrk.ua/ua/shop/konyak-tisa-3-goda-vyderzhki-40-4820139280267-0-5-l.html,https://cdn.27.ua/190/d5/ae/2938286_1.jpeg,228,294,65,,,В наявності,-22%,Тиса,22
"Ром Caribica білий 0,7 л",https://epicentrk.ua/ua/shop/rom-caribica-bilyi-0-7-l.html,https://cdn.27.ua/190/64/52/9921618_1.jpeg,299,399,100,,,В наявності,Акція -25%,Caribica,25
"Ром Planteray 20 років витримки Barbados XO 20th Anniversary у коробці 0,7 л",https://epicentrk.ua/ua/shop/rom-planteray-20-rokiv-vytrymky-barbados-xo-20th-anniversary-u-korobtsi-0-7-l.html,https://cdn.27.ua/190/fc/8e/9895054_1.jpeg,3199,3773,573,,,В наявності,Чесна Вигода -15%,Planteray,15
