title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
Гель для вмивання Clean & Clear від прищів Швидкий ефект 150 мл,https://epicentrk.ua/ua/shop/gel-dlya-umyvaniya-clean-clear-ot-pryschey-bystryy-effekt-150-ml.html,https://cdn.27.ua/190/53/e8/414696_1.jpeg,171,245,73,,,В наявності,-29%,Clean & Clear,30
Гель для вмивання Mermade BioDtox & Hyaluronic Acid 50 мл,https://epicentrk.ua/ua/shop/hel-dlia-vmyvannia-mermade-biodtox-hyaluronic-acid-50-ml.html,https://cdn.27.ua/190/4b/b3/8735667_1.jpeg,111,159,47,,,В наявності,Акція -30%,Mermade,30
Скраб Nivea для обличчя проти недоліків шкіри 150 мл,https://epicentrk.ua/ua/shop/piling-gel-nivea-.html,https://cdn.27.ua/190/93/30/103216_5.jpeg,167,223,55,,,В наявності,Акція -24%,NIVEA,25
Гель-мус Sane для обличчя очищувальний 40 мл,https://epicentrk.ua/ua/shop/hel-mus-sane-dlia-oblychchia-ochyshchuvalnyi-40-ml.html,https://cdn.27.ua/190/24/15/6956053_1.jpeg,125,179,53,,,В наявності,Акція -30%,Sane,30
Гель для вмивання Himalaya Herbals проти «чорних цяток» з волоським горіхом 150 мл,https://epicentrk.ua/ua/shop/hel-dlia-vmyvannia-himalaya-herbals-proty-chornykh-tsiatok-z-voloskym-horikhom-150-ml.html,https://cdn.27.ua/190/7d/51/6978897_2.jpeg,82,163,81,,,В наявності,Акція -49%,Himalaya Herbals,50
Мус для обличчя Caudalie Vinoclean очищувальний 150 мл,https://epicentrk.ua/ua/shop/muss-dlya-litsa-caudalie-vinoclean-ochischayuschiy-150-ml.html,https://cdn.27.ua/190/dc/28/3202088_5.jpeg,799,,,,,В наявності,1+1=3,Мус,
"Гель для вмивання Family Doctor для проблемної шкіри, проти чорних цяток 265 мл",https://epicentrk.ua/ua/shop/gel-dlya-umyvaniya-family-doctor-dlya-problemnoy-kozhi-protiv-chernykh-tochek-265-ml.html,https://cdn.27.ua/190/2c/74/339060_3.jpeg,54,77,23,,,В наявності,-30%,Family Doctor,30
Пінка для вмивання VivaOliva Гіалуронова 150 мл,https://epicentrk.ua/ua/shop/pinka-dlia-vmyvannia-vivaoliva-hialuronova-150-ml.html,https://cdn.27.ua/190/41/27/8143143_1.jpeg,88,126,37,,,В наявності,Акція -29%,Пінка,30
Гель для вмивання Nivea MEN Миттєве полегшення 100 мл,https://epicentrk.ua/ua/shop/hel-dlia-vmyvannia-nivea-men-myttieve-polehshennia-100-ml.html,https://cdn.27.ua/190/9a/85/8493701_1.jpeg,169,226,56,,,В наявності,Акція -25%,NIVEA,25
Пінка для вмивання Mermade Hydrovance & Chamomile Flower Extract 150 мл,https://epicentrk.ua/ua/shop/pinka-dlia-vmyvannia-mermade-hydrovance-chamomile-flower-extract-150-ml.html,https://cdn.27.ua/190/4b/bb/8735675_2.jpeg,209,299,89,,,В наявності,Чесна Вигода -30%,Mermade,30
